CustomerKey;Nome;Sobrenome;Nome Completo;Genero;DatPrimeiraCompra;Cidade do Cliente
11000;Jon;Yang;Jon Yang;Masculino;2018-01-19;Rockhampton
11001;Eugene;Huang;Eugene Huang;Masculino;2018-01-15;Seaford
11002;Ruben;Torres;Ruben Torres;Masculino;2018-01-07;Hobart
11003;Christy;Zhu;Christy Zhu;Feminino;2017-12-29;North Ryde
11004;Elizabeth;Johnson;Elizabeth Johnson;Feminino;2018-01-23;Wollongong
11005;Julio;Ruiz;Julio Ruiz;Masculino;2017-12-30;East Brisbane
11006;Janet;Alvarez;Janet Alvarez;Feminino;2018-01-24;Matraville
11007;Marco;Mehta;Marco Mehta;Masculino;2018-01-09;Warrnambool
11008;Rob;Verhoff;Rob Verhoff;Feminino;2018-01-25;Bendigo
11009;Shannon;Carlson;Shannon Carlson;Masculino;2018-01-27;Hervey Bay
11010;Jacquelyn;Suarez;Jacquelyn Suarez;Feminino;2018-01-14;East Brisbane
11011;Curtis;Lu;Curtis Lu;Masculino;2017-12-30;East Brisbane
11012;Lauren;Walker;Lauren Walker;Feminino;2020-03-16;Bremerton
11013;Ian;Jenkins;Ian Jenkins;Masculino;2020-04-13;Lebanon
11014;Sydney;Bennett;Sydney Bennett;Feminino;2020-03-23;Redmond
11015;Chloe;Young;Chloe Young;Feminino;2020-01-18;Burbank
11016;Wyatt;Hill;Wyatt Hill;Masculino;2020-02-09;Imperial Beach
11017;Shannon;Wang;Shannon Wang;Feminino;2018-01-12;Sunbury
11018;Clarence;Rai;Clarence Rai;Masculino;2018-01-17;Bendigo
11019;Luke;Lal;Luke Lal;Masculino;2020-02-12;Langley
11020;Jordan;King;Jordan King;Masculino;2019-12-29;Metchosin
11021;Destiny;Wilson;Destiny Wilson;Feminino;2020-01-23;Beaverton
11022;Ethan;Zhang;Ethan Zhang;Masculino;2020-01-20;Bellingham
11023;Seth;Edwards;Seth Edwards;Masculino;2020-02-17;Bellflower
11024;Russell;Xie;Russell Xie;Masculino;2020-06-27;Concord
11025;Alejandro;Beck;Alejandro Beck;Masculino;2018-01-06;Hawthorne
11026;Harold;Sai;Harold Sai;Masculino;2018-01-23;Goulburn
11027;Jessie;Zhao;Jessie Zhao;Masculino;2018-01-16;Warrnambool
11028;Jill;Jimenez;Jill Jimenez;Feminino;2018-01-26;St. Leonards
11029;Jimmy;Moreno;Jimmy Moreno;Masculino;2018-01-19;Bendigo
11030;Bethany;Yuan;Bethany Yuan;Feminino;2018-02-05;Cloverdale
11031;Theresa;Ramos;Theresa Ramos;Feminino;2018-02-01;Matraville
11032;Denise;Stone;Denise Stone;Feminino;2018-02-18;Melbourne
11033;Jaime;Nath;Jaime Nath;Masculino;2018-02-15;Milsons Point
11034;Ebony;Gonzalez;Ebony Gonzalez;Feminino;2018-02-01;North Sydney
11035;Wendy;Dominguez;Wendy Dominguez;Feminino;2018-02-06;Cranbourne
11036;Jennifer;Russell;Jennifer Russell;Feminino;2020-01-22;National City
11037;Chloe;Garcia;Chloe Garcia;Feminino;2020-01-20;Cliffside
11038;Diana;Hernandez;Diana Hernandez;Feminino;2018-02-07;Lavender Bay
11039;Marc;Martin;Marc Martin;Masculino;2018-02-07;Wollongong
11040;Jesse;Murphy;Jesse Murphy;Masculino;2020-04-03;Tacoma
11041;Amanda;Carter;Amanda Carter;Feminino;2020-01-14;Glendale
11042;Megan;Sanchez;Megan Sanchez;Feminino;2020-01-21;Los Angeles
11043;Nathan;Simmons;Nathan Simmons;Masculino;2020-05-08;Glendale
11044;Adam;Flores;Adam Flores;Masculino;2018-02-28;Hervey Bay
11045;Leonard;Nara;Leonard Nara;Masculino;2020-04-10;Matraville
11046;Christine;Yuan;Christine Yuan;Feminino;2018-02-06;Lavender Bay
11047;Jaclyn;Lu;Jaclyn Lu;Feminino;2018-02-03;Geelong
11048;Jeremy;Powell;Jeremy Powell;Masculino;2018-02-10;Sunbury
11049;Carol;Rai;Carol Rai;Feminino;2020-03-09;Chula Vista
11050;Alan;Zheng;Alan Zheng;Masculino;2018-02-20;Hobart
11051;Daniel;Johnson;Daniel Johnson;Masculino;2020-12-29;Caloundra
11052;Heidi;Lopez;Heidi Lopez;Feminino;2018-02-17;Matraville
11053;Ana;Price;Ana Price;Feminino;2020-01-17;San Diego
11054;Deanna;Munoz;Deanna Munoz;Feminino;2018-02-03;Geelong
11055;Gilbert;Raje;Gilbert Raje;Masculino;2018-01-31;East Brisbane
11056;Michele;Nath;Michele Nath;Feminino;2018-02-26;Newcastle
11057;Carl;Andersen;Carl Andersen;Masculino;2018-02-22;Lane Cove
11058;Marc;Diaz;Marc Diaz;Masculino;2018-03-09;Findon
11059;Ashlee;Andersen;Ashlee Andersen;Feminino;2020-02-18;Townsville
